Cluster 0
966,85,
769,279,
690,163,
889,264,
920,321,
912,132,
959,28,
868,174,
602,67,
627,159,
829,221,
609,108,
970,55,
679,145,
955,158,
688,249,
688,125,
886,129,
665,128,
936,20,
873,216,
940,303,
818,82,
927,323,
775,216,
981,244,
612,70,
914,201,
675,182,
754,285,
919,75,
866,274,
719,152,
872,6,
712,161,
594,59,
943,164,
965,336,
800,153,
926,365,
789,192,
659,168,
993,133,
652,144,
912,186,
870,174,
896,82,
889,99,
783,161,
832,168,
916,177,
990,267,
883,326,
824,51,
844,275,
799,18,
660,31,
789,254,
631,22,
888,206,
720,115,
950,203,
952,76,
939,209,
755,185,
975,60,
966,274,
673,17,
572,27,
962,117,
872,9,
796,233,
816,327,
811,275,
837,17,
538,4,
770,0,
808,323,
769,100,
938,213,
922,237,
924,62,
769,48,
808,243,
753,2,
793,83,
861,379,
769,5,
917,194,
700,62,
793,310,
723,198,
712,26,
768,35,
718,61,
839,194,
810,261,
760,101,
819,171,
906,107,
834,310,
830,87,
619,194,
809,294,
844,186,
904,34,
743,246,
543,65,
981,167,
761,40,
768,79,
761,108,
786,54,
610,76,
761,146,
762,197,
953,181,
840,140,
833,224,
930,85,
888,186,
794,91,
805,140,
842,101,
563,100,
566,130,
764,75,
981,153,
962,97,
747,273,
678,211,
698,130,
656,119,
840,331,
936,253,
782,239,
983,29,
768,243,
579,151,
734,39,
610,85,
976,112,
970,249,
747,120,
993,127,
935,233,
716,200,
837,166,
878,139,
550,64,
859,160,
998,31,
656,135,
732,228,
823,161,
786,145,
857,11,
570,153,
850,96,
970,316,
682,63,
830,350,
680,297,
618,355,
788,359,
735,326,
547,317,
700,354,
600,317,
618,305,
764,336,
563,235,
653,340,
582,280,
613,226,
557,286,
705,327,
752,327,
764,316,
609,225,
661,318,
548,263,
710,322,
605,307,
715,357,
542,207,
605,342,
563,343,
581,237,
593,275,
659,321,
654,341,
544,165,
759,366,
683,302,
537,241,
667,356,
589,255,
755,317,
707,282,
578,179,
560,176,
616,327,
560,239,
767,375,
634,346,
528,264,
647,385,
606,394,
742,384,
543,353,
637,377,
606,401,
573,367,
505,10,
694,392,
725,393,
510,74,
623,383,
827,395,
737,413,
526,265,
800,401,
550,402,
626,387,
670,428,
517,181,
650,415,
525,271,
647,423,
596,424,
595,438,
621,438,
514,223,
529,381,
539,445,
509,207,
510,205,
507,199,
489,63,
482,9,
510,251,
496,159,
478,16,
478,40,
493,171,
476,60,
Cluster 1
475,584,
493,539,
